"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,2,4,0,0,3
"2",1,2,5,0,0,3
"3",1,2,5,0,0,3
"4",1,2,5,0,0,3
"5",1,6,6,0,0,3
"6",1,6,4,0,0,3
"7",1,6,10,0,0,3
"8",1,6,10,0,0,3
"9",1,14,12,0,0,3
"10",1,14,40,0,0,3
"11",1,14,24,0,0,3
"12",1,14,22,0,0,3
"13",1,26,36,0,0,3
"14",1,26,25,0,0,3
"15",1,26,34,0,0,3
"16",1,26,53,0,0,3
"17",1,40,24,0,0,3
"18",1,40,102,0,0,3
"19",1,40,33,0,0,3
"20",1,40,67,0,0,3
"21",1,0,0,2,3,3
"22",1,0,0,2,0,3
"23",1,0,0,2,4,3
"24",1,0,0,2,0,3
"25",1,0,0,6,2,3
"26",1,0,0,6,10,3
"27",1,0,0,6,11,3
"28",1,0,0,6,8,3
"29",1,0,0,14,4,3
"30",1,0,0,14,11,3
"31",1,0,0,14,4,3
"32",1,0,0,14,19,3
"33",1,0,0,26,16,3
"34",1,0,0,26,15,3
"35",1,0,0,26,17,3
"36",1,0,0,26,24,3
"37",1,0,0,40,17,3
"38",1,0,0,40,20,3
"39",1,0,0,40,17,3
"40",1,0,0,40,16,3
"41",1,2,6,2,3,3
"42",1,2,6,2,6,3
"43",1,2,6,2,3,3
"44",1,2,6,2,0,3
"45",1,6,10,6,2,3
"46",1,6,9,6,7,3
"47",1,6,17,6,8,3
"48",1,6,10,6,7,3
"49",1,14,37,14,13,3
"50",1,14,23,14,14,3
"51",1,14,21,14,19,3
"52",1,14,2,14,6,3
"53",1,26,11,26,14,3
"54",1,26,35,26,15,3
"55",1,26,29,26,11,3
"56",1,26,49,26,15,3
"57",1,40,28,40,15,3
"58",1,40,77,40,18,3
"59",1,40,22,40,17,3
"60",1,40,20,40,12,3
