"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n"
"1",1,2,3.882,0.999,0,0,0,4
"2",1,4,8.535,0.989,0,0,0,4
"3",1,8,12.606,1.442,0,0,0,4
"4",1,16,12.246,1.325,0,0,0,4
"5",1,32,13.008,0.921,0,0,0,4
"6",1,64,13.186,1.814,0,0,0,4
"7",1,128,15.133,0.819,0,0,0,4
"8",1,256,13.869,0.893,0,0,0,4
"9",1,0,0,0,2,2.103,0.754,7
"10",1,0,0,0,4,2.417,0.559,7
"11",1,0,0,0,8,3.334,0.595,7
"12",1,0,0,0,16,4.471,0.886,7
"13",1,0,0,0,32,4.6,0.757,7
"14",1,0,0,0,64,4.449,0.908,7
"15",1,0,0,0,128,4.507,0.969,7
"16",1,0,0,0,256,4.782,0.932,7
"17",1,15,2.003,1.873,15,5.261,2.414,5
"18",1,30,1.668,2.131,30,4.488,1.326,5
"19",1,50,0.445,0.253,50,2.562,0.772,5
"20",1,25,9.044,4.987,5,1.962,1.449,5
"21",1,50,10.088,5.106,5,1.297,1.572,5
"22",1,100,14.559,5.208,5,0.869,1.767,5
"23",1,5,0.53,1.718,25,4.194,2.55,5
